Opera;Anno;Genere/Materiale; Estimate p (min) ; Estimate p (Max) ; Hammer p (Hp) ;;;
Tracia's Horses;;0; 3.000 ; 4.000 ; 7.000 ;;;
Studio per Angelo;1959;0; 6.000 ; 8.000 ; 6.820 ;;;
Paesaggio*;;0; 7.000 ; 10.000 ; 6.800 ;;;
Donna che Legge*;1957;1; 4.000 ; 6.000 ; 6.250 ;;;
Dormiente nel Paesaggio;1953;1; 5.000 ; 7.000 ; 6.250 ;;;
Maternità;1946;1; 5.000 ; 8.000 ; 6.200 ;;;
Nudo Femminile;;0; 9.000 ; 12.000 ; 6.000 ;;;
Ragazza;1927;0; 9.000 ; 12.000 ; 6.000 ;;;
Figure;1945;1; 5.000 ; 6.000 ; 5.952 ;;;
Three Nudes;;1; 4.000 ; 5.000 ; 5.500 ;;;
Paesaggio**;;0; 5.500 ; 8.000 ; 5.200 ;;;
Nudo Sdraiato*;1922;0;;; 5.000 ;;;
Figura di Donna;1947;1; 2.500 ; 3.500 ; 5.000 ;;;
Sleeping Woman;;1; 4.000 ; 6.000 ; 5.000 ;;;
Nude on Chair;;1; 5.000 ; 5.000 ; 5.000 ;;;
Nudo ;1929;1; 4.000 ; 5.000 ; 4.712 ;;;
Senza Titolo;;1; 1.800 ; 2.400 ; 4.500 ;;;
Night Camp;;0; 3.800 ; 4.400 ; 4.400 ;;;
Senza Titolo;;1; 3.000 ; 5.000 ; 4.000 ;;;
Inter e Suore (Due Suore);1950;1; 7.000 ; 8.000 ; 4.000 ;;;
Dormiente;1950;1; 5.200 ; 7.200 ; 4.000 ;;;
Study for Portrait of Gobetti;1961;1; 4.000 ; 4.000 ; 4.000 ;;;
Nudo;1918;1; 4.500 ; 6.000 ; 3.800 ;;;
Nudo;;1; 4.500 ; 6.000 ; 3.800 ;;;
Bozzetto per Fontana;1914;1; 4.600 ; 5.600 ; 3.800 ;;;
Bambina Seduta;1929;1; 3.000 ; 4.000 ; 3.750 ;;;
Musizierende in Halbfigur;;1; 4.000 ; 6.000 ; 3.500 ;;;
Figure;;1; 4.000 ; 6.000 ; 3.400 ;;;
Figura Femminile Seduta;1938;1; 1.800 ; 2.500 ; 3.200 ;;;
Nudo in Gicchio;;1; 3.500 ; 4.500 ; 3.200 ;;;
Due Nudini di Bambina;1943;1; 4.500 ; 6.000 ; 3.000 ;;;
Nudo Sdraiato;;1; 3.500 ; 5.500 ; 2.800 ;;;
Italienische kunst der gegenwart 1;1950;0; 3.000 ; 4.000 ; 2.800 ;;;
Italienische kunst 2;1950;0; 3.000 ; 4.000 ; 2.800 ;;;
Italienische kunst 3;1950;0; 3.000 ; 4.000 ; 2.800 ;;;
Figura con Ma sul Viso;1941;1; 2.000 ; 3.000 ; 2.750 ;;;
Donna Seduta;;1; 3.000 ; 4.000 ; 2.600 ;;;
Maria Teresa Square;1937;1; 2.500 ; 3.000 ; 2.500 ;;;
Apparition of Neptune;;0; 2.000 ; 3.000 ; 2.400 ;;;
Study of Angel;;1; 2.000 ; 3.000 ; 2.000 ;;;
Nudi di Schiena;1935;1; 2.200 ; 3.000 ; 1.700 ;;;
Scoglio delle Sirene;;1; 1.000 ; 1.500 ; 1.375 ;;;
Figura;;1; 1.500 ; 2.000 ; 1.300 ;;;
Senza Titolo;1918;1; 1.000 ; 1.500 ; 950 ;;;
Figure Sdraiate;;1; 400 ; 700 ; 900 ;;;
Due Nudi o Bozzetto per Fontana;1914;1; 900 ; 1.400 ; 850 ;;;
Idomeneo di Mozart;1949;1; 300 ; 400 ; 525 ;;;
Le Baccanti di Federico Ghedini;1949;1; 300 ; 400 ; 425 ;;;
Cine Club Tori;1951;1; 900 ; 1.200 ; 400 ;;;
L'Abbraccio;1910;1; 1.000 ; 1.200 ; 300 ;;;
Figura Seduta;;1; 500 ; 700 ; 300 ;;;
Donna nella Stanza;;1; 200 ; 200 ; 300 ;;;
Ragazza con Pere;;1; 300 ; 500 ; 298 ;;;
Nudo di Schiena e Colonna;1949;1; 500 ; 700 ; 250 ;;;
L'Abbraccio;1910;1; 250 ; 350 ; 240 ;;;
Due Bambine;;1; 300 ; 400 ; 200 ;;;
Nuda con Chitarra;;1; 300 ; 400 ; 200 ;;;
Figura  ;;1; 200 ; 300 ; 190 ;;;
Bambine;1946;1; 200 ; 300 ; 180 ;;;
Senza Titolo;;1;;; -   ;;;
Nu Sur un Fauteuil;;0; 40.000 ; 60.000 ; -   ;;;
Etudiante;;0; 50.000 ; 70.000 ; -   ;;;
Nature Morte (Pommes et Flutes);1954;0; 50.000 ; 70.000 ; -   ;;;
Buste de Jeune Femme;;1; 1.500 ; 2.000 ; -   ;;;
Le Stiratrici;1954;0; 60.000 ; 90.000 ; -   ;;;
Modella nello Studio (Figura);1945;0; 65.000 ; 85.000 ; -   ;;;
Nudo di Donna*;1958;0; 4.000 ; 6.000 ; -   ;;;
Fanciulla;;1; 3.000 ; 5.000 ; -   ;;;
Donna Triste;1956;0; 13.000 ; 15.000 ; -   ;;;
Small Boats on a Quay Side;;0; 4.000 ; 6.000 ; -   ;;;
Nudo di Donna;1958;0; 5.000 ; 7.000 ; -   ;;;
Studio per Angelo*;1961;1; 5.000 ; 6.000 ; -   ;;;
Maternità;1952;1; 700 ; 1.200 ; -   ;;;
Natura Morta;1958;0; 20.000 ; 30.000 ; -   ;;;
Donna Nuda;;0; 40.000 ; 50.000 ; -   ;;;
Il Muli del Po;1948;1; 600 ; 800 ; -   ;;;
San Tommaso Triumph;;0; 40.000 ; 60.000 ; -   ;;;
Studio per Angelo;1961;1; 5.000 ; 6.000 ; -   ;;;
